taxonomic_chain,nmol
Fungi-Basidiomycota-Agaricomycetes-Russulales-Hericiaceae-Hericium-Hericium erinaceus,252
Viridiplantae-Streptophyta-Magnoliopsida-Caryophyllales-Phytolaccaceae-Phytolacca-Phytolacca americana,251
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Astragalus-Astragalus mongholicus,251
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Citrus-Citrus limon,251
Viridiplantae-Streptophyta-Magnoliopsida-Acorales-Acoraceae-Acorus-Acorus gramineus,251
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Acanthaceae-Andrographis-Andrographis paniculata,250
Viridiplantae-Streptophyta-Magnoliopsida-Saxifragales-Grossulariaceae-Ribes-Ribes nigrum,250
Viridiplantae-Streptophyta-Magnoliopsida-Myrtales-Onagraceae-Epilobium-Epilobium hirsutum,249
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Hypericaceae-Hypericum-Hypericum polyanthemum,248
Viridiplantae-Streptophyta-Magnoliopsida-Caryophyllales-Phytolaccaceae-Phytolacca-Phytolacca acinosa,247
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Vitex-Vitex trifolia,247
Viridiplantae-Streptophyta-Magnoliopsida-Cucurbitales-Cucurbitaceae-Cucumis-Cucumis sativus,246
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Moraceae-Ficus-Ficus carica,246
